asset_id,name,code,card_id,status,identification,source_image
tts_154818,「全人类ノ绯想天」,,spell-fdf-086,已有卡面／重复裁切,project_image_match,cards/tts_154818__spell-fdf-086.jpg
tts_154819,雨符「雨夜ノ怪谈」,,spell-fdf-123,已有卡面／重复裁切,project_image_match,cards/tts_154819__spell-fdf-123.jpg
tts_154820,秘术「遗忘ノ祭仪」,,spell-fdf-087,已有卡面／重复裁切,project_image_match,cards/tts_154820__spell-fdf-087.jpg
tts_154821,「Wall of Issun」,,spell-fdf-088,已有卡面／重复裁切,project_image_match,cards/tts_154821__spell-fdf-088.jpg
tts_154822,再思ノ道,,field-fdf-089,已有卡面／重复裁切,project_image_match,cards/tts_154822__field-fdf-089.jpg
tts_154823,守矢神社,,field-fdf-107,已有卡面／重复裁切,project_image_match,cards/tts_154823__field-fdf-107.jpg
tts_154824,旧都,,field-fdf-108,已有卡面／重复裁切,project_image_match,cards/tts_154824__field-fdf-108.jpg
tts_154825,要石,,token-fdf-129,已有卡面／重复裁切,project_image_match,cards/tts_154825__token-fdf-129.jpg
tts_154826,水难事故的化身「村纱水蜜」,,character-fdf-100,已有卡面／重复裁切,project_image_match,cards/tts_154826__character-fdf-100.jpg
tts_154827,小小的贤将「纳兹琳」,,character-fdf-092,已有卡面／重复裁切,project_image_match,cards/tts_154827__character-fdf-092.jpg
tts_154828,禁止通行「云居一轮&云山」,,character-fdf-046,已有卡面／重复裁切,project_image_match,cards/tts_154828__character-fdf-046.jpg
tts_154829,萤火的行踪「莉格露·奈特巴格」,,character-fdf-104,已有卡面／重复裁切,project_image_match,cards/tts_154829__character-fdf-104.jpg
tts_154830,巧言令色的白兔「因幡帝」,,character-fdf-098,已有卡面／重复裁切,project_image_match,cards/tts_154830__character-fdf-098.jpg
tts_154831,鲜红的恶魔「蕾米莉亚·斯卡雷特」,,character-fdf-091,已有卡面／重复裁切,project_image_match,cards/tts_154831__character-fdf-091.jpg
tts_154832,花田的新人「梅蒂欣·梅兰可莉」,,character-fdf-109,已有卡面／重复裁切,project_image_match,cards/tts_154832__character-fdf-109.jpg
tts_154833,鲵吞亭的店花「奥野田美宵」,FDF-095,character-fdf-095,已有卡面／重复裁切,project_image_match,cards/tts_154833__character-fdf-095.jpg
tts_154834,深夜食堂店长「米斯蒂娅·萝蕾拉」,,character-fdf-094,已有卡面／重复裁切,project_image_match,cards/tts_154834__character-fdf-094.jpg
tts_154835,幻想的冬天之物「蕾蒂·霍瓦特洛克」,FDF-070,character-fdf-070,已有卡面／重复裁切,project_image_match,cards/tts_154835__character-fdf-070.jpg
tts_154836,控龙的少女「物部布都」,,character-fdf-093,已有卡面／重复裁切,project_image_match,cards/tts_154836__character-fdf-093.jpg
tts_154837,神明后裔的亡灵「苏我屠自古」,,character-fdf-111,已有卡面／重复裁切,project_image_match,cards/tts_154837__character-fdf-111.jpg
tts_154838,诵经的山彦「幽谷响子」,,character-fdf-069,已有卡面／重复裁切,project_image_match,cards/tts_154838__character-fdf-069.jpg
tts_154839,生意兴隆的吉祥物「豪德寺三花」,FDF-099,character-fdf-099,已有卡面／重复裁切,project_image_match,cards/tts_154839__character-fdf-099.jpg
tts_154840,华之大江山「星熊勇仪」,,character-fdf-110,已有卡面／重复裁切,project_image_match,cards/tts_154840__character-fdf-110.jpg
tts_154841,无间之钟「姬海棠果」,,character-fdf-105,已有卡面／重复裁切,project_image_match,cards/tts_154841__character-fdf-105.jpg
tts_154842,天才的造型神「埴安神袿姬」,,character-fdf-106,已有卡面／重复裁切,project_image_match,cards/tts_154842__character-fdf-106.jpg
tts_154843,布加勒斯特的人偶师「爱丽丝·玛格特罗伊德」,,character-fdf-112,已有卡面／重复裁切,project_image_match,cards/tts_154843__character-fdf-112.jpg
tts_154844,污秽的有机怪物「天火人血枪」,,character-fdf-065,已有卡面／重复裁切,project_image_match,cards/tts_154844__character-fdf-065.jpg
tts_154845,狂气的地狱妖精「克劳恩皮丝」,,character-fdf-113,已有卡面／重复裁切,project_image_match,cards/tts_154845__character-fdf-113.jpg
tts_154846,雪中的天狗「犬走椛」,,character-fdf-101,已有卡面／重复裁切,project_image_match,cards/tts_154846__character-fdf-101.jpg
tts_154847,「胆小的小人士兵」,,character-fdf-103,已有卡面／重复裁切,project_image_match,cards/tts_154847__character-fdf-103.jpg
tts_154848,耳边低语的邪恶白狐「菅牧典」,,character-fdf-114,已有卡面／重复裁切,project_image_match,cards/tts_154848__character-fdf-114.jpg
tts_154849,「自异星而来的物体」,,character-fdf-115,已有卡面／重复裁切,project_image_match,cards/tts_154849__character-fdf-115.jpg
tts_154850,鬼衍生物,FDF-130,token-fdf-130,已有卡面／重复裁切,project_image_match,cards/tts_154850__token-fdf-130.jpg
tts_154851,不明物体,,token-fdf-131,已有卡面／重复裁切,project_image_match,cards/tts_154851__token-fdf-131.jpg
tts_154852,月兔衍生物,FDF-132,token-fdf-132,已有卡面／重复裁切,project_image_match,cards/tts_154852__token-fdf-132.jpg
tts_154853,吸血鬼衍生物,FDF-133,token-fdf-133,待核对规则／数值,printed_code_workbook,cards/tts_154853__unmatched.jpg
tts_154854,人偶衍生物,FDF-134,,未对应当前卡池,face_rules_workbook,cards/tts_154854__unmatched.jpg
tts_154855,虫群衍生物,FDF-135,,未对应当前卡池,printed_code_workbook,cards/tts_154855__unmatched.jpg
tts_154856,幻胧的月兔「铃仙·优昙华院·因幡」,,character-fdf-090,已有卡面／重复裁切,project_image_match,cards/tts_154856__character-fdf-090.jpg
tts_154857,川雾的引航人「小野冢小町」,,character-fdf-029,已有卡面／重复裁切,project_image_match,cards/tts_154857__character-fdf-029.jpg
tts_154858,月之头脑「八意永琳」,,character-fdf-116,已有卡面／重复裁切,project_image_match,cards/tts_154858__character-fdf-116.jpg
tts_154859,平安时代的妖怪「封兽鵺」,,character-fdf-117,已有卡面／重复裁切,project_image_match,cards/tts_154859__character-fdf-117.jpg
